F D P 3 A 1 7 2 C 8 5 O E K L 4 9 J G M H N 6 I B
7 E M O 9 N 5 K F 3 H J 6 A 1 I 2 L C B P D G 4 8
0 0 1 N 0 G 0 0 0 0 8 0 0 0 F 0 0 O 0 0 K 2 0 0 0
4 0 0 H 0 O 6 P 0 0 0 0 0 B N 0 0 8 7 0 0 5 M 0 J
0 0 I 0 0 0 B J E 0 G 2 0 0 7 0 0 0 P 0 F 3 0 0 1
0 I 0 A 1 0 M C 4 7 0 N 8 0 0 G 0 0 0 9 0 0 2 L 0
0 3 J 0 0 0 0 L 9 0 1 0 0 P 0 0 O 0 0 0 0 0 0 5 D
G 0 0 4 0 0 N 0 3 K 0 0 O 0 0 0 M 0 E 2 0 I 0 J P
0 H 0 0 O 0 0 0 0 I 0 M J 0 G B L F K 0 4 0 0 N 0
0 0 0 P 0 J 0 G 0 0 A 0 4 9 D 7 0 H 3 0 0 C F E 0
9 0 0 0 0 A 0 7 O J L 0 0 I 0 0 0 0 0 0 0 0 8 0 M
0 0 0 B M 0 0 0 2 0 0 0 0 O 5 3 7 A 4 0 G J I 0 6
C O 0 0 0 3 0 0 M 0 F 4 G N H 0 D 0 0 8 0 0 0 A L
N 0 A 6 8 0 E 5 G D 7 K 0 0 0 0 B 0 0 0 2 O 0 0 0
I 0 G 0 0 0 0 0 0 0 0 6 0 0 C F J 9 0 5 0 0 0 0 3
0 A 8 7 0 0 L M 0 4 D I K 0 E 0 0 B 0 G 0 1 0 0 0
0 G 0 0 N 0 3 6 P A B 0 2 J 0 D 0 0 0 0 I 0 0 M 0
D P 0 F 0 K G 0 J 0 0 0 7 0 0 2 H 0 8 0 0 9 0 0 N
H J 0 0 0 0 0 0 1 0 0 G 0 0 A 0 K P 0 0 0 0 3 D 0
0 C O 0 0 D 0 0 0 H 0 0 9 6 0 J 3 4 I 0 A L 0 2 0
3 0 0 I 5 0 1 0 0 0 M 0 0 2 4 0 E C D 0 0 0 N 0 0
8 0 B G 0 0 C 3 0 0 J A 0 0 0 0 0 M 2 P 0 K 0 0 5
0 0 0 C P 0 0 B 0 0 K 0 0 0 3 0 0 0 0 1 0 F J 0 0
A 0 6 9 0 0 J 0 0 2 0 C I 0 8 0 G 0 0 F 1 E 0 0 4
2 0 E 0 0 9 0 0 7 G O 0 0 0 6 N 4 0 0 K 0 0 P 3 I
